                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92754,                0.73082,                 1.0904,                0.91341,                0.82533,                0.92798,                0.69913,                0.86132,                0.64549,                 1.0268,              0.0017822,              0.0017822,              0.0017822
                     36,                 0.9374,                0.76739,                 1.1118,                0.92465,                0.85153,                0.93811,                0.69756,                0.87679,                0.60761,                 1.0288,              0.0017756,              0.0017756,              0.0017756
                     37,                0.90418,                0.76058,                 1.1059,                0.92551,                0.86816,                0.94503,                0.70937,                0.87373,                0.60718,                 1.0143,               0.001769,               0.001769,               0.001769
                     38,                0.92287,                0.73034,                  1.087,                0.90166,                0.84085,                0.92241,                0.69278,                0.85222,                0.61162,                 1.0099,              0.0017624,              0.0017624,              0.0017624
                     39,                0.96227,                0.74039,                 1.1225,                0.87785,                0.87336,                0.92618,                0.70068,                 0.8596,                0.61697,                 1.0343,              0.0017558,              0.0017558,              0.0017558
                     40,                0.92078,                0.75439,                 1.0962,                0.90928,                0.86026,                0.93375,                0.68741,                0.88112,                0.63735,                  1.017,              0.0017492,              0.0017492,              0.0017492
                     41,                0.92417,                0.73992,                  1.105,                0.93515,                0.85808,                0.94339,                0.71594,                0.83322,                 0.6024,                 1.0091,              0.0017426,              0.0017426,              0.0017426
                     42,                0.89492,                0.68922,                 1.0826,                0.86836,                0.84977,                0.90792,                0.67901,                0.88157,                0.68523,                 1.0263,               0.001736,               0.001736,               0.001736
                     43,                0.91326,                0.72708,                 1.0899,                0.91238,                0.86399,                 0.9358,                0.70032,                 0.8697,                 0.6153,                 1.0241,              0.0017294,              0.0017294,              0.0017294
                     44,                0.88469,                 0.7057,                 1.0777,                0.91727,                0.82309,                0.92201,                 0.6863,                0.86518,                0.63116,                 1.0243,              0.0017228,              0.0017228,              0.0017228
                     45,                0.91633,                 0.7159,                  1.101,                0.90334,                0.83659,                0.92121,                0.69572,                0.88419,                0.62661,                 1.0247,              0.0017162,              0.0017162,              0.0017162
                     46,                0.89204,                0.68091,                 1.0755,                0.90634,                0.86625,                0.93642,                0.69276,                0.86167,                 0.6025,                  1.018,              0.0017096,              0.0017096,              0.0017096
                     47,                0.89531,                0.70255,                 1.0853,                0.92689,                0.82969,                0.93723,                0.70479,                0.86921,                0.60623,                  1.021,               0.001703,               0.001703,               0.001703
                     48,                0.87551,                0.68127,                 1.0678,                0.92272,                0.83427,                0.93085,                0.70883,                0.84448,                0.58947,                 1.0238,              0.0016964,              0.0016964,              0.0016964
                     49,                0.89305,                0.70123,                 1.0869,                0.91908,                0.83624,                 0.9391,                0.71481,                   0.84,                0.58693,                 1.0079,              0.0016898,              0.0016898,              0.0016898
                     50,                0.89919,                0.68333,                  1.077,                0.91683,                0.86645,                0.93777,                0.71157,                 0.8486,                0.58234,                 1.0101,              0.0016832,              0.0016832,              0.0016832
